,group,pro_inter,pro_homic,pro_maxtemp,pro_humid,pro_precip,pro_luna,total_festivos,pro_multas,pro_indexheat,out_pro_multas,out_pro_homic,out_pro_humid,out_pro_indexheat,out_pro_inter,out_pro_maxtemp,out_pro_precip
0,1,9.0,1.14285714285714,32.7142857142857,80.7142857142857,0,0.836571428571429,1,3.71428571428571,29.8067285714286,0,0,0,0,0,0,0
1,2,7.14285714285714,1.57142857142857,31.5714285714286,76.0,0,0.210285714285714,1,5.28571428571429,30.5523857142857,0,0,0,0,0,0,0
2,3,8.71428571428571,2.14285714285714,32.8571428571429,76.7142857142857,0,0.0854285714285714,0,5.71428571428571,31.0781857142857,0,1,0,0,0,0,0
3,4,8.71428571428571,0.428571428571429,33.5714285714286,77.8571428571429,0,0.631571428571429,0,5.28571428571429,31.7589857142857,0,0,0,0,0,0,0
4,5,9.14285714285714,0.857142857142857,32.5714285714286,75.5714285714286,0,0.912571428571429,0,5.42857142857143,31.1606,0,0,0,0,0,0,0
5,6,8.42857142857143,0.571428571428571,33.2857142857143,79.4285714285714,0,0.340285714285714,1,4.57142857142857,31.1103142857143,0,0,0,0,0,0,0
6,7,14.0,0.571428571428571,32.8571428571429,78.8571428571429,0,0.0398571428571429,4,6.14285714285714,31.5190142857143,0,0,0,0,0,0,0
7,8,6.0,0.857142857142857,34.1428571428571,76.2857142857143,0,0.484142857142857,0,4.28571428571429,32.7470428571429,0,0,0,0,0,0,0
8,9,8.57142857142857,0.857142857142857,34.1428571428571,77.7142857142857,1,0.942428571428571,0,5.85714285714286,34.1893714285714,0,0,0,0,0,0,0
9,10,5.14285714285714,0.857142857142857,33.1428571428571,79.4285714285714,1,0.491,0,5.0,34.7027857142857,0,0,0,0,1,0,0
10,11,9.28571428571429,0.571428571428571,35.1428571428571,79.5714285714286,1,0.0538571428571429,0,5.42857142857143,34.8877142857143,0,0,0,0,0,0,0
